gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1584375177	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15588	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Eretmochelys	Eretmochelys imbricata		SPECIES	Eretmochelys imbricata (Linnaeus, 1766)	Eretmochelys imbricata		AU	MTW:RABBIT IS		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8302	148.8918					0.0	0.0	1974-01-01T00:00:00Z			1974	8841716	8841716	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15588				CC_BY_4_0					2019-09-20T20:16:33.973Z		COORDINATE_PRECISION_INVALID
1584375176	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15611	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Natator	Natator depressus		SPECIES	Natator depressus (Garman, 1880)	Natator depressus		AU	MTW:SALONIKA BEACH		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-21.3222	149.2926					0.0	0.0	1995-01-01T00:00:00Z			1995	2442173	2442173	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15611				CC_BY_4_0					2019-09-20T23:00:40.024Z		COORDINATE_PRECISION_INVALID
1584375175	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15565	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Eretmochelys	Eretmochelys imbricata		SPECIES	Eretmochelys imbricata (Linnaeus, 1766)	Eretmochelys imbricata		AU	MTW:NEWRY ISLAND:WEST BEACH		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8568	148.9166					0.0	0.0	2001-01-01T00:00:00Z			2001	8841716	8841716	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15565				CC_BY_4_0					2019-09-20T20:16:33.575Z		COORDINATE_PRECISION_INVALID
1584375174	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15587	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Eretmochelys	Eretmochelys imbricata		SPECIES	Eretmochelys imbricata (Linnaeus, 1766)	Eretmochelys imbricata		AU	MTW:RABBIT IS		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8302	148.8918					0.0	0.0	1979-01-01T00:00:00Z			1979	8841716	8841716	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15587				CC_BY_4_0					2019-09-20T20:16:33.799Z		COORDINATE_PRECISION_INVALID
1584375173	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15571	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Natator	Natator depressus		SPECIES	Natator depressus (Garman, 1880)	Natator depressus		AU	MTW:RABBIT IS		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8302	148.8918					0.0	0.0	1996-01-01T00:00:00Z			1996	2442173	2442173	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15571				CC_BY_4_0					2019-09-20T23:00:39.939Z		COORDINATE_PRECISION_INVALID
1584375172	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15583	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Lepidochelys	Lepidochelys olivacea		SPECIES	Lepidochelys olivacea (Eschscholtz, 1829)	Lepidochelys olivacea		AU	MTW:RABBIT IS		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8302	148.8918					0.0	0.0	1974-01-01T00:00:00Z			1974	2442153	2442153	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15583				CC_BY_4_0					2019-09-20T20:33:11.415Z		COORDINATE_PRECISION_INVALID
1584375171	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15569	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Natator	Natator depressus		SPECIES	Natator depressus (Garman, 1880)	Natator depressus		AU	MTW:RABBIT IS		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8302	148.8918					0.0	0.0	1979-01-01T00:00:00Z			1979	2442173	2442173	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15569				CC_BY_4_0					2019-09-20T23:00:40.149Z		COORDINATE_PRECISION_INVALID
1584375170	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15532	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Lepidochelys	Lepidochelys olivacea		SPECIES	Lepidochelys olivacea (Eschscholtz, 1829)	Lepidochelys olivacea		AU	MTW:HAY POINT BEACH		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-21.2751	149.2964					0.0	0.0	1995-01-01T00:00:00Z			1995	2442153	2442153	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15532				CC_BY_4_0					2019-09-20T20:33:17.473Z		COORDINATE_PRECISION_INVALID
1584375169	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15556	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Natator	Natator depressus		SPECIES	Natator depressus (Garman, 1880)	Natator depressus		AU	MTW:NEWRY ISLAND:NTH BEACH		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8527	148.9224					0.0	0.0	2000-01-01T00:00:00Z			2000	2442173	2442173	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15556				CC_BY_4_0					2019-09-20T23:00:40.425Z		COORDINATE_PRECISION_INVALID
1584375168	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15570	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Natator	Natator depressus		SPECIES	Natator depressus (Garman, 1880)	Natator depressus		AU	MTW:RABBIT IS		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8302	148.8918					0.0	0.0	1995-01-01T00:00:00Z			1995	2442173	2442173	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15570				CC_BY_4_0					2019-09-20T23:00:40.032Z		COORDINATE_PRECISION_INVALID
