,ID,scientific name,date,coordinates
1730,1584376476,Eretmochelys imbricata,2001-01-01T00:00:00Z,"150.4386,-21.7648"
1731,1584376475,Eretmochelys imbricata,2001-01-01T00:00:00Z,"148.7229,-20.6348"
1732,1584376474,Natator depressus,2001-01-01T00:00:00Z,"150.1516,-21.5329"
1733,1584376473,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.4315,-20.7591"
1734,1584376472,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.9238,-21.4777"
1735,1584376471,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.4554,-21.7324"
1736,1584376470,Natator depressus,1999-01-01T00:00:00Z,"141.2037,-16.6934"
1737,1584376469,Eretmochelys imbricata,2001-01-01T00:00:00Z,"150.4311,-21.7519"
1738,1584376468,Eretmochelys imbricata,2001-01-01T00:00:00Z,"150.4289,-21.7628"
1739,1584376467,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.1118,-20.5847"
1740,1584376466,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.43200000000002,-20.9093"
1741,1584376465,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.4333,-20.7662"
1742,1584376464,Natator depressus,2000-01-01T00:00:00Z,"149.4428,-20.9103"
1743,1584376463,Natator depressus,2000-01-01T00:00:00Z,"149.4243,-20.9107"
1744,1584376462,Natator depressus,2001-01-01T00:00:00Z,"150.1537,-21.5295"
1745,1584376461,Natator depressus,2001-01-01T00:00:00Z,"148.7229,-20.6348"
1746,1584376460,Natator depressus,2001-01-01T00:00:00Z,"150.4386,-21.7648"
1747,1584376459,Eretmochelys imbricata,2001-01-01T00:00:00Z,"149.4841,-21.9808"
1748,1584376458,Natator depressus,2001-01-01T00:00:00Z,"150.4249,-21.7543"
1749,1584376457,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.2424,-21.0985"
1750,1584376456,Lepidochelys olivacea,1999-01-01T00:00:00Z,"142.7454,-10.995"
1751,1584376455,Eretmochelys imbricata,2001-01-01T00:00:00Z,"150.1465,-21.5217"
1752,1584376454,Natator depressus,2001-01-01T00:00:00Z,"150.1484,-21.5212"
1753,1584376453,Eretmochelys imbricata,2001-01-01T00:00:00Z,"150.1484,-21.5212"
1754,1584376452,Eretmochelys imbricata,1997-01-01T00:00:00Z,"151.9667,-24.3167"
1755,1584376451,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.4348,-20.9324"
1756,1584376450,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.4356,-20.7683"
