latitude,longitude
-9.5192,141.5704
-9.77,142.65
-9.5833,143.7667
-10.6083,142.3
-9.6167,143.3033
-10.7683,142.37
-10.1633,142.5167
-10.7634,142.3711
-10.6842,142.5324
-10.05,143.0667
-10.6842,142.5324
-10.2367,142.075
-10.7683,142.37
-10.05,143.0
-10.1633,142.5167
-10.3883,142.1283
-9.1333,143.8833
-9.5667,144.0
-9.52,141.57
-10.7634,142.3711
-10.3467,142.1067
-10.5984,142.1646
-9.5192,141.5704
-9.5667,143.4917
-10.7683,142.37
-9.6167,143.3033
-10.5233,143.095
-10.05,143.0667
-9.5667,143.4833
-9.77,142.65
-9.8383,142.7467
-9.5667,143.4917
-10.2367,142.075
-9.1333,143.8833
-9.925,144.05
-9.1333,143.8833
-9.925,144.05
-9.925,144.05
-9.5667,143.4833
-10.6842,142.5324
-10.7683,142.37
-11.1283,142.1517
-10.05,143.0
-9.5667,143.4833
-10.5233,143.095
-9.8383,142.7467
-9.1417,143.875
-9.1333,143.8833
-9.8867,143.4833
-9.1333,143.8833
-9.5667,144.0
-10.05,143.0
-10.7683,142.37
-10.3467,142.1067
-9.1333,143.8833
-10.105,143.1533
-9.1333,143.8833
-10.05,143.0667
-10.7683,142.37
-10.1483,142.82
-9.6167,143.3033
-9.1417,143.875
-9.925,144.05
-9.5883,143.7683
-11.1283,142.1517
-10.05,143.0667
-9.1333,143.8833
-9.8717,143.3917
-9.8867,143.4833
-9.5883,143.7683
-9.8717,143.3917
-10.2233,142.1667
-9.1333,143.8833
-10.59,141.91
-10.105,143.1533
-10.1483,142.82
-10.125,142.145
-9.5883,143.7683
-9.8383,142.7467
-10.105,143.1533
-9.5667,143.4917
-9.1417,143.875
-9.8867,143.4833
-9.1333,143.8833
-10.2233,142.1667
-11.1283,142.1517
-9.5667,143.4917
-10.125,142.145
-10.3467,142.1067
-9.8717,143.3917
-9.87,143.17
-10.06,142.1717
-9.1417,143.875
-10.125,142.145
-10.1534,142.1767
-9.87,143.17
-9.1333,143.8833
-10.1836,142.1623
-9.8667,143.4
-9.5667,143.4833
-9.1333,143.8833
-9.3667,144.1167
-10.1483,142.82
-10.0617,142.165
-9.1333,143.8833
-9.3667,144.1167
-9.8667,143.4
-10.7167,142.37
-9.1333,143.8833
-10.59,141.91
-9.1333,143.8833
-10.59,141.91
-10.6058,141.9096
-9.8667,143.4
-10.22,142.16
-10.2167,142.1583
-10.1534,142.1767
-10.6133,142.5
-10.2233,142.1667
-9.8717,143.3917
-10.055,142.165
-10.22,142.16
-10.1483,142.82
-10.6133,142.5
-9.9567,143.2917
-10.215,142.1633
-9.1333,143.8833
-10.6058,141.9096
-9.87,143.17
-10.215,142.1633
-10.1534,142.1767
-9.9567,143.2917
-10.22,142.2133
-10.3533,142.055
-10.6133,142.5
-9.9567,143.2917
-10.8467,142.3483
-10.1836,142.1623
-10.7167,142.6
-9.8667,143.4
-9.9567,142.21
-10.215,142.1633
-10.7067,142.595
-10.06,142.1717
-10.055,142.165
-10.2,142.1167
-9.87,143.17
-10.74,142.6117
-9.9567,143.2917
-10.7083,142.35
-10.22,142.2133
-10.06,142.1783
-10.1534,142.1767
-10.0617,142.165
-10.2033,142.17
-10.7667,142.21
-10.74,142.6117
-10.0617,142.165
-10.225,142.0667
-10.22,142.0533
-10.74,142.6117
-10.055,142.165
-9.3667,144.1167
-10.7117,142.595
-10.22,142.2133
-9.965,142.2083
-10.795,142.9717
-10.2,142.1733
-10.2233,142.06
-10.545,142.19
-10.0283,142.1283
-10.2167,142.1583
-10.7283,142.6217
-10.7283,142.6217
-10.6917,142.28
-10.7117,142.595
-10.2267,142.1533
-10.6,142.635
-10.2167,142.1583
-9.9683,142.2117
-10.06,142.1783
-10.2783,142.1017
-10.3533,142.1067
-10.22,142.16
-9.95,142.21
-10.3283,142.0933
-10.2,142.1733
-10.06,142.1783
-10.245,142.0833
-10.7233,142.6233
-10.6,142.635
-10.0283,142.1283
-10.2033,142.17
-10.225,142.0667
-10.7233,142.6233
-10.2233,142.06
-10.22,142.0633
-10.7717,142.3867
-10.2667,142.07
-10.06,142.1717
-10.22,142.0633
-10.2483,142.0633
-10.18,142.175
